1,"Dihada, Binder of Wills",N/A,1,By Edmund Tai,Top16(0 - 3 - 1)  0%
2,"Kraum, Ludevic''s Opus",Tymna the Weaver,10,by diego corona,Top16(2 - 3 - 1)  33%
3,"Dihada, Binder of Wills",N/A,15,by casey chamberlain,Top32(0 - 3 - 1)  0%
4,Marneus Calgar,N/A,16,by brandon mcnutt,Top64(0 - 3 - 1)  0%
5,"Kinnan, Bonder Prodigy",N/A,2,By Googlybear_,Top8(0 - 1)  0%
6,"Godo, Bandit Warlord",N/A,8,By Juancho Fabregas,Top16(0 - 2 - 1)  0%
7,Magus Lucea Kane,N/A,3,by iago simo,Top32
8,"Derevi, Empyrial Tactician",N/A,3,By Drlorente91,TOP16
9,"Kediss, Emberclaw Familiar","Malcolm, Keen-Eyed Navigator",16,by cooper mcconnell,Top64(0 - 3 - 2)  0%
10,"Thrasios, Triton Hero",Tymna the Weaver,2,by jorman antigua,Top4(1 - 1)  50%
11,"Kinnan, Bonder Prodigy",N/A,16,by joshua roberts,Top32(0 - 2 - 3)  0%
12,"Dihada, Binder of Wills",N/A,4,By Akira Kaneko,2nd(3 - 2)  60%
13,Ruhan of the Fomori,N/A,3,By Pol Guillén,TOP16
14,"Thrasios, Triton Hero",Tymna the Weaver,17,By Boris Marin,Top8(0 - 1 - 3)  0%
15,Henzie Toolbox Torre,N/A,3,By Adrián López García,TOP16
16,"Dargo, the Shipwrecker",Tymna the Weaver,18,by harrison fields,Top64(1 - 4)  20%
17,"Tayam, Luminous Enigma",N/A,16,by mike izzo,Top32(0 - 3 - 2)  0%
18,"Kinnan, Bonder Prodigy",N/A,9,By Kirsten Orrahood,Top16(1 - 2 - 2)  20%
19,"Tivit, Seller of Secrets",N/A,18,by john rich,Top32(1 - 3 - 2)  16%
20,"Saheeli, Radiant Creator",N/A,3,By Max Pérez Segués,TOP32
21,"Thrasios, Triton Hero",Tymna the Weaver,10,by sergio calabuig,Top64(0 - 3 - 2)  0%
22,"Kraum, Ludevic''s Opus",Tymna the Weaver,6,By Dakota Rincon-Minter,Top16(0 - 3)  0%
23,"Thrasios, Triton Hero",Tymna the Weaver,15,By Steve Picken,Top16(1 - 3)  25%
24,"Rograkh, Son of Rohgahh","Silas Renn, Seeker Adept",15,By Ed G,Top4(2 - 1 - 3)  33%
25,"Kenrith, the Returned King",N/A,9,By Bobby,Top4(2 - 2 - 2)  33%
26,"Krark, the Thumbless",Sakashima of a Thousand Faces,15,by chris lawson,Top32(0 - 1 - 3)  0%
27,"Kraum, Ludevic''s Opus",Tymna the Weaver,4,By Lyndon Zhang,Top16(0 - 4)  0%
28,"Rograkh, Son of Rohgahh","Thrasios, Triton Hero",18,by hey!zeus,Top64(0 - 1 - 4)  0%
29,"Rograkh, Son of Rohgahh","Thrasios, Triton Hero",4,By Michael Uehara,Top16(1 - 3)  25%
30,"Gonti, Canny Acquisitor",N/A,3,by rubén Álvarez manzano,Top32
31,"Valgavoth, Harrower of Souls",N/A,15,By Tyler Eastham,Top16(1 - 2 - 1)  25%
32,"Satoru, the Infiltrator",N/A,20,by rowan foxley,Top32(0 - 1 - 3)  0%
33,"Narset, Enlightened Master",N/A,18,by bob nisivoccia,Top32(2 - 4)  33%
34,"Kinnan, Bonder Prodigy",N/A,10,by jose rocamora,Top32(1 - 3 - 1)  20%
35,"Ob Nixilis, Captive Kingpin",N/A,16,by kevin miller,Top32(0 - 2)  0%
36,"Kinnan, Bonder Prodigy",N/A,15,By Dillon Beattie,Top16(1 - 2 - 2)  20%
37,"Talion, the Kindly Lord",N/A,4,By Matt Hayes,Top16(0 - 3)  0%
38,"Magda, Brazen Outlaw",N/A,6,By Garner Johnson,Top8(0 - 1 - 2)  0%
39,"Tana, the Bloodsower",Tymna the Weaver,4,By Jaymie Inciong-Lewis,Top16(0 - 4)  0%
40,"Thrasios, Triton Hero",Tymna the Weaver,14,By Brian Legrand,Top16(0 - 3)  0%
41,"Rona, Herald of Invasion",N/A,10,by ignasi galofré pujol,Top64
42,"Thrasios, Triton Hero",Tymna the Weaver,18,By Sylvester Spinetta Iv,Top8(3 - 2 - 2)  42%
43,"Shorikai, Genesis Engine",N/A,13,By Lj Cagle,1st(3 - 1 - 1)  60%
44,"Malcolm, Keen-Eyed Navigator",Vial Smasher the Fierce,10,By Kik,2nd(3 - 1 - 2)  50%
45,"Thrasios, Triton Hero",Tymna the Weaver,7,By Valentin Quinones,2ND
46,"K''rrik, Son of Yawgmoth",N/A,11,by ely key,Top32(0 - 4)  0%
47,"Tevesh Szat, Doom of Fools","Thrasios, Triton Hero",18,by josh schutt,Top32(1 - 3 - 2)  16%
48,"Kinnan, Bonder Prodigy",N/A,16,by max reeder,Top32(0 - 2 - 3)  0%
49,"Breya, Etherium Shaper",N/A,2,By Br1cksquad,Top8(0 - 1)  0%
50,"Yuriko, the Tiger''s Shadow",N/A,1,by naufal,Top16(0 - 2 - 2)  0%
51,"Kraum, Ludevic''s Opus",Tymna the Weaver,6,By Michael Hall,Top16(0 - 2 - 2)  0%
52,"Kinnan, Bonder Prodigy",N/A,15,by jasmine windridge,Top32(0 - 4)  0%
53,"Yuriko, the Tiger''s Shadow",N/A,16,By Jon Kennedy,Top4(3 - 3)  50%
54,"Rograkh, Son of Rohgahh","Silas Renn, Seeker Adept",10,By Esteban Marin Illana,Top8(2 - 1 - 3)  33%
55,Scion of the Ur-Dragon,N/A,18,by james raynor,Top64(1 - 4 - 1)  16%
56,"Hashaton, Scarab''s Fist",N/A,16,By Cj Myers,Top8(2 - 2 - 2)  33%
57,"Krark, the Thumbless",Sakashima of a Thousand Faces,9,by jason mabb,Top32(0 - 3 - 1)  0%
58,"Kinnan, Bonder Prodigy",N/A,10,by guillermo bordes alcañiz,Top32(0 - 3 - 1)  0%
59,"Kenrith, the Returned King",N/A,11,By Justin Lanore,Top4(2 - 2 - 2)  33%
60,"Francisco, Fowl Marauder","Kraum, Ludevic''s Opus",8,By John Bautista,Top16(0 - 2 - 1)  0%
61,"Dihada, Binder of Wills",N/A,16,by ryan kish,Top64(0 - 2 - 2)  0%
62,"Malcolm, Keen-Eyed Navigator",Vial Smasher the Fierce,18,by andrew small,Top64(0 - 4 - 1)  0%
63,"Stella Lee, Wild Card",N/A,10,by juan carlos arellano olmos,Top64(0 - 2 - 2)  0%
64,"Iron Man, Titan of Innovation",N/A,4,By Casey Nakamura,Top4(3 - 3)  50%
65,"Bristly Bill, Spine Sower",N/A,8,By Lauren De Jesus,1st(3 - 1)  75%
66,"Atraxa, Grand Unifier",N/A,10,By Andres Sanchez Martinez,1st(4 - 2 - 1)  57%
67,"Kinnan, Bonder Prodigy",N/A,10,by zhixiang chen,Top32(1 - 2 - 2)  20%
68,"Malcolm, Keen-Eyed Navigator",Vial Smasher the Fierce,10,by ismael ruiz,Top32(0 - 4)  0%
69,The Dalek Emperor,N/A,3,By Nicolás Tapia Godoy,TOP16
70,"Derevi, Empyrial Tactician",N/A,19,By Jake Mcmillan,Top4(1 - 1 - 2)  25%
71,"Thrasios, Triton Hero",Tymna the Weaver,10,by andrés morales herraiz,Top64(0 - 4)  0%
72,"Yisan, the Wanderer Bard",N/A,10,By Marc Gómez,Top4(3 - 3 - 1)  42%
73,"Najeela, the Blade-Blossom",N/A,1,By Qayser Shahrin,Top16(0 - 3 - 1)  0%
74,"Ghyrson Starn, Kelermorph",N/A,16,by matthew schindler,Top32(0 - 4)  0%
75,"Kraum, Ludevic''s Opus",Tymna the Weaver,6,By James Carrizosa,Top16(0 - 2 - 2)  0%
76,"Kinnan, Bonder Prodigy",N/A,2,By Austen Louden ::Bc::,Top16(0 - 1)  0%
77,"Bruse Tarl, Boorish Herder","Kamahl, Heart of Krosa",9,by jesse feliciano,Top32(0 - 1 - 3)  0%
78,"Satya, Aetherflux Genius",N/A,3,by martín albanese,Top32
79,"Kraum, Ludevic''s Opus",Tymna the Weaver,18,By Joshua Kline,1st(5 - 1 - 2)  62%
80,"Rakdos, the Muscle",N/A,7,By Dewn Rivera,TOP4
81,"Magda, Brazen Outlaw",N/A,18,By Brandon Austin,Top16(2 - 3 - 2)  28%
82,"Temmet, Naktamun''s Will",N/A,3,by antonio parra rubio,Top32
83,The Sixth Doctor,N/A,9,By Christian Jensen,Top16(1 - 2 - 1)  25%
84,"Rograkh, Son of Rohgahh","Silas Renn, Seeker Adept",1,By Nik Aiman,Top16(0 - 2 - 2)  0%
85,"Rograkh, Son of Rohgahh","Silas Renn, Seeker Adept",10,by francisco heredia,Top32(1 - 4)  20%
86,"Roxanne, Starfall Savant",N/A,20,by bryton holliday,Top32(0 - 2 - 2)  0%
87,"Tayam, Luminous Enigma",N/A,15,by mirko,Top32(0 - 2 - 2)  0%
88,"Malcolm, Keen-Eyed Navigator",Vial Smasher the Fierce,13,By Richie Baker,Top16(1 - 2)  33%
89,"Raffine, Scheming Seer",N/A,4,by charles sonido,Top32(0 - 3)  0%
90,"Esika, God of the Tree",N/A,14,By Roberto Raffo,Top16(0 - 3)  0%
91,"Plagon, Lord of the Beach",N/A,16,by ian ignotov,Top32(1 - 3 - 1)  20%
92,"Sisay, Weatherlight Captain",N/A,5,By Jonathan Starkey,2nd(2 - 1 - 1)  50%
93,Zur the Enchanter,N/A,16,by logan obrian,Top32(1 - 3 - 1)  20%
94,"Breena, the Demagogue",N/A,3,By Óscar Estellés Vilchez,TOP16
95,"Alexios, Deimos of Kosmos",N/A,3,by nacho villalonga,Top32
96,"Kraum, Ludevic''s Opus",Tymna the Weaver,1,By Tan Su Teck,Top16(0 - 3 - 1)  0%
97,Teysa Karlov,N/A,3,by kevin yucra martínez,Top32
98,"Plagon, Lord of the Beach",N/A,5,By Jacob Ian Rodriguez,Top16(0 - 1 - 1)  0%
99,"Animar, Soul of Elements",N/A,3,By Gabriel,TOP16
100,"Hashaton, Scarab''s Fist",N/A,16,by sam valley,Top32(1 - 3 - 1)  20%
101,"Thrasios, Triton Hero",Tymna the Weaver,13,By Aadil Rahaman,Top16(0 - 2 - 1)  0%
102,"Tayam, Luminous Enigma",N/A,18,by cynthia moreno,Top32(1 - 2 - 3)  16%
103,"Kraum, Ludevic''s Opus",Tymna the Weaver,11,By Austin Lindeman,Top8(2 - 3)  40%
104,"Magda, Brazen Outlaw",N/A,4,By Leighton Villanueva,Top16(0 - 4)  0%
105,"Thrasios, Triton Hero",Tymna the Weaver,13,By Emma Cagle,Top32(0 - 3)  0%
106,"Tivit, Seller of Secrets",N/A,19,By Zachary Ritz,2nd(1 - 1 - 2)  25%
107,"Kinnan, Bonder Prodigy",N/A,13,By Charles Borgsmiller,Top4(2 - 2)  50%
108,Anje Falkenrath,N/A,10,by borja zamora mozo,Top64(1 - 4)  20%
109,"Rograkh, Son of Rohgahh","Thrasios, Triton Hero",10,by joan paulo martínez,Top64(0 - 2 - 2)  0%
110,Marneus Calgar,N/A,12,By Sage C Deenik,Top8(1 - 2)  33%
111,"Sisay, Weatherlight Captain",N/A,16,By Wynendine,Top8(2 - 3 - 1)  33%
112,"Thrasios, Triton Hero",Tymna the Weaver,15,By Samuel Jones,Top16(1 - 2 - 1)  25%
113,"Tivit, Seller of Secrets",N/A,10,by aron gonzalez garcia,Top64(0 - 2 - 3)  0%
114,"Yuriko, the Tiger''s Shadow",N/A,10,by eric romeo,Top64(0 - 3)  0%
115,"Ixhel, Scion of Atraxa",N/A,3,by yago garcia mendez,Top32
116,"Kinnan, Bonder Prodigy",N/A,16,by woodrow ohler,Top64(0 - 4 - 1)  0%
117,"Silas Renn, Seeker Adept","Yoshimaru, Ever Faithful",8,By John Forrest Go,Top8(0 - 2 - 1)  0%
118,"Kykar, Wind''s Fury",N/A,1,By Hazim,Top16(0 - 2 - 2)  0%
119,"Malcolm, Keen-Eyed Navigator",Tymna the Weaver,18,By Joe Scala,Top16(2 - 2 - 3)  28%
120,"Francisco, Fowl Marauder","Thrasios, Triton Hero",9,by angel saavedra,Top32(0 - 3 - 1)  0%
121,The Pride of Hull Clade,N/A,5,By Zachary Morton,Top8(0 - 1 - 1)  0%
122,"Kinnan, Bonder Prodigy",N/A,11,By Patrick Tetrick,Top8(1 - 2 - 2)  20%
123,"Sisay, Weatherlight Captain",N/A,15,by katrina jackson-black,Top32(0 - 3 - 1)  0%
124,"Magda, Brazen Outlaw",N/A,18,by christopher lavalley,Top64(0 - 3 - 3)  0%
125,"Kraum, Ludevic''s Opus",Tymna the Weaver,18,By Ian Henson,Top4(3 - 3 - 2)  37%
126,"Heliod, Sun-Crowned",N/A,20,By Rodney Bennett,Top4(2 - 2 - 2)  33%
127,"Korvold, Fae-Cursed King",N/A,19,By Christopher Knighton,Top16(0 - 2 - 1)  0%
128,"Zimone, Mystery Unraveler",N/A,3,by borja garcia sanchez,Top32
129,"Kraum, Ludevic''s Opus",Tymna the Weaver,10,By Martin Feinsilber,Top16(1 - 1 - 4)  16%
130,"Thrasios, Triton Hero",Tymna the Weaver,9,by nabeel ahmad,Top32(0 - 2 - 2)  0%
131,"Kamahl, Heart of Krosa",Kodama of the East Tree,11,By Jeremy Roberts,Top16(0 - 2 - 1)  0%
132,"Thrasios, Triton Hero",Tymna the Weaver,17,By Daniel Valdes Urzua,Top16(0 - 2 - 2)  0%
133,"Rograkh, Son of Rohgahh","Silas Renn, Seeker Adept",9,By Cam,2nd(2 - 2 - 1)  40%
134,"Kinnan, Bonder Prodigy",N/A,18,by steven tanner,Top32(2 - 3 - 1)  33%
135,"Atraxa, Grand Unifier",N/A,18,by sean conley,Top128(0 - 4)  0%
136,"Breya, Etherium Shaper",N/A,4,by jason scott,Top16(0 - 4)  0%
137,"Thrasios, Triton Hero",Tymna the Weaver,15,by federico zubani,Top32(0 - 3 - 1)  0%
138,Hazel of the Rootbloom,N/A,3,By Ronny,2ND
139,"Talion, the Kindly Lord",N/A,16,by daniel caskey,Top64(0 - 3 - 2)  0%
140,"Tivit, Seller of Secrets",N/A,10,by yon lópez,Top32(1 - 3 - 1)  20%
141,"Kinnan, Bonder Prodigy",N/A,5,By Stephanie Rooney,Top8(0 - 1 - 1)  0%
